Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,部分,國家,城市,狀態,Postal Code,地區,Product ID,類別,子類別,產品名稱,Sales
28,US-2016-150630,17/09/2016,21/09/2016,Standard Class,TB-21520,Tracy Blumstein,消費者,美國,費城,賓夕法尼亞州,19140,東方,FUR-BO-10004834,家具,書櫃,Riverside Palais Royal Lawyers 書櫃，Royale Cherry Finish,3083.43
29,US-2016-150630,17/09/2016,21/09/2016,Standard Class,TB-21520,Tracy Blumstein,消費者,美國,費城,賓夕法尼亞州,19140,東方,OFF-BI-10000474,辦公用品,粘合劑,用於裝訂系統的 Avery 回收 Flexi-View 封面,9.618
30,US-2016-150630,17/09/2016,21/09/2016,Standard Class,TB-21520,Tracy Blumstein,消費者,美國,費城,賓夕法尼亞州,19140,東方,FUR-FU-10004848,家具,陳設,"Howard Miller 13-3/4"" 直徑拉絲鍍鉻圓形掛鐘",124.2
31,US-2016-150630,17/09/2016,21/09/2016,Standard Class,TB-21520,Tracy Blumstein,消費者,美國,費城,賓夕法尼亞州,19140,東方,OFF-EN-10001509,辦公用品,信封,聚繩領帶信封,3.264
32,US-2016-150630,17/09/2016,21/09/2016,Standard Class,TB-21520,Tracy Blumstein,消費者,美國,費城,賓夕法尼亞州,19140,東方,OFF-AR-10004042,辦公用品,藝術,BOSTON 1800 型電動卷筆刀，油灰/木紋,86.304
33,US-2016-150630,17/09/2016,21/09/2016,Standard Class,TB-21520,Tracy Blumstein,消費者,美國,費城,賓夕法尼亞州,19140,東方,OFF-BI-10001525,辦公用品,粘合劑,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858
34,US-2016-150630,17/09/2016,21/09/2016,Standard Class,TB-21520,Tracy Blumstein,消費者,美國,費城,賓夕法尼亞州,19140,東方,OFF-AR-10001683,辦公用品,藝術,木材蠟筆,15.76
35,CA-2018-107727,19/10/2018,23/10/2018,Second Class,MA-17560,Matt Abelman,在家辦公,美國,休斯頓,德克薩斯州,77095,中央,OFF-PA-10000249,辦公用品,紙,易裝訂紙,29.472
36,CA-2017-117590,08/12/2017,10/12/2017,First Class,GH-14485,Gene Hale,公司的,美國,理查森,德克薩斯州,75080,中央,TEC-PH-10004977,技術,電話,通用電氣 30524EE4,1097.544
37,CA-2017-117590,08/12/2017,10/12/2017,First Class,GH-14485,Gene Hale,公司的,美國,理查森,德克薩斯州,75080,中央,FUR-FU-10003664,家具,陳設,Electtrix Architect 夾式擺臂燈，黑色,190.92
38,CA-2016-117415,27/12/2016,31/12/2016,Standard Class,SN-20710,Steve Nguyen,在家辦公,美國,休斯頓,德克薩斯州,77041,中央,OFF-EN-10002986,辦公用品,信封,"#10-4 1/8"" x 9 1/2"" 優質斜縫信封",113.328
39,CA-2016-117415,27/12/2016,31/12/2016,Standard Class,SN-20710,Steve Nguyen,在家辦公,美國,休斯頓,德克薩斯州,77041,中央,FUR-BO-10002545,家具,書櫃,Atlantic Metals 移動 3 層書櫃，定制顏色,532.3992
40,CA-2016-117415,27/12/2016,31/12/2016,Standard Class,SN-20710,Steve Nguyen,在家辦公,美國,休斯頓,德克薩斯州,77041,中央,FUR-CH-10004218,家具,椅子,全球面料經理椅，深灰色,212.058
41,CA-2016-117415,27/12/2016,31/12/2016,Standard Class,SN-20710,Steve Nguyen,在家辦公,美國,休斯頓,德克薩斯州,77041,中央,TEC-PH-10000486,技術,電話,Plantronics HL10 手機升降器,371.168
42,CA-2018-120999,10/09/2018,15/09/2018,Standard Class,LC-16930,Linda Cazamias,公司的,美國,內珀維爾,伊利諾伊州,60540,中央,TEC-PH-10004093,技術,電話,松下 Kx-TS550,147.168
43,CA-2017-101343,17/07/2017,22/07/2017,Standard Class,RA-19885,Ruben Ausman,公司的,美國,洛杉磯,加利福尼亞,90049,西方,OFF-ST-10003479,辦公用品,貯存,用於可堆疊存儲架的 Eldon 底座，鉑金,77.88
44,CA-2018-139619,19/09/2018,23/09/2018,Standard Class,ES-14080,Erin Smith,公司的,美國,墨爾本,佛羅里達,32935,南,OFF-ST-10003282,辦公用品,貯存,Advantus 10 抽屜便攜式收納盒，鍍鉻金屬框架，煙霧抽屜,95.616
45,CA-2017-118255,11/03/2017,13/03/2017,First Class,ON-18715,Odella Nelson,公司的,美國,伊根,明尼蘇達,55122,中央,TEC-AC-10000171,技術,配件,Verbatim 25 GB 6x 藍光單層可刻錄光盤，25/包,45.98
46,CA-2017-118255,11/03/2017,13/03/2017,First Class,ON-18715,Odella Nelson,公司的,美國,伊根,明尼蘇達,55122,中央,OFF-BI-10003291,辦公用品,粘合劑,帶有 DublLock 圓環的 Wilson Jones 皮革狀活頁夾,17.46
47,CA-2015-146703,20/10/2015,25/10/2015,Second Class,PO-18865,Patrick O'Donnell,消費者,美國,韋斯特蘭,密歇根州,48185,中央,OFF-ST-10001713,辦公用品,貯存,Gould Plastics 9 口袋麵板箱，18-3/8w x 5-1/4d x 20-1/2h，黑色,211.96
48,CA-2017-169194,20/06/2017,25/06/2017,Standard Class,LH-16900,Lena Hernandez,消費者,美國,多佛,特拉華州,19901,東方,TEC-AC-10002167,技術,配件,Imation8gb Micro Traveldrive USB 2.0閃存驅動器,45
49,CA-2017-169194,20/06/2017,25/06/2017,Standard Class,LH-16900,Lena Hernandez,消費者,美國,多佛,特拉華州,19901,東方,TEC-PH-10003988,技術,電話,LF Elite 3D Dazzle Designer 硬殼保護套、Lf 觸控筆和雨刷器適用於 Apple Iphone 5c Mini Lite,21.8
50,CA-2016-115742,18/04/2016,22/04/2016,Standard Class,DP-13000,Darren Powers,消費者,美國,新奧爾巴尼,印第安納州,47150,中央,OFF-BI-10004410,辦公用品,粘合劑,C-Line Peel & Stick 附加文件袋，8-3/4 x 5-1/8，10 個/包,38.22
51,CA-2016-115742,18/04/2016,22/04/2016,Standard Class,DP-13000,Darren Powers,消費者,美國,新奧爾巴尼,印第安納州,47150,中央,OFF-LA-10002762,辦公用品,標籤,艾利 485,75.18
52,CA-2016-115742,18/04/2016,22/04/2016,Standard Class,DP-13000,Darren Powers,消費者,美國,新奧爾巴尼,印第安納州,47150,中央,FUR-FU-10001706,家具,陳設,壽命更長的軟白燈泡,6.16
53,CA-2016-115742,18/04/2016,22/04/2016,Standard Class,DP-13000,Darren Powers,消費者,美國,新奧爾巴尼,印第安納州,47150,中央,FUR-CH-10003061,家具,椅子,全球皮革工作椅，黑色,89.99
54,CA-2017-105816,11/12/2017,17/12/2017,Standard Class,JM-15265,Janet Molinari,公司的,美國,紐約市,紐約,10024,東方,OFF-FA-10000304,辦公用品,緊固件,Advantus 圖釘,15.26
55,CA-2017-105816,11/12/2017,17/12/2017,Standard Class,JM-15265,Janet Molinari,公司的,美國,紐約市,紐約,10024,東方,TEC-PH-10002447,技術,電話,AT&T CL83451 4 聽筒電話,1029.95
56,CA-2017-111682,17/06/2017,18/06/2017,First Class,TB-21055,Ted Butterfield,消費者,美國,特洛伊,紐約,12180,東方,OFF-ST-10000604,辦公用品,貯存,家庭/辦公室個人文件推車,208.56
57,CA-2017-111682,17/06/2017,18/06/2017,First Class,TB-21055,Ted Butterfield,消費者,美國,特洛伊,紐約,12180,東方,OFF-PA-10001569,辦公用品,紙,施樂232,32.4
58,CA-2017-111682,17/06/2017,18/06/2017,First Class,TB-21055,Ted Butterfield,消費者,美國,特洛伊,紐約,12180,東方,FUR-CH-10003968,家具,椅子,Novimex Turbo 任務椅,319.41
59,CA-2017-111682,17/06/2017,18/06/2017,First Class,TB-21055,Ted Butterfield,消費者,美國,特洛伊,紐約,12180,東方,OFF-PA-10000587,辦公用品,紙,陣列羊皮紙，各種顏色,14.56
60,CA-2017-111682,17/06/2017,18/06/2017,First Class,TB-21055,Ted Butterfield,消費者,美國,特洛伊,紐約,12180,東方,TEC-AC-10002167,技術,配件,Imation8gb Micro Traveldrive USB 2.0閃存驅動器,30
61,CA-2017-111682,17/06/2017,18/06/2017,First Class,TB-21055,Ted Butterfield,消費者,美國,特洛伊,紐約,12180,東方,OFF-BI-10001460,辦公用品,粘合劑,塑料裝訂梳,48.48
62,CA-2017-111682,17/06/2017,18/06/2017,First Class,TB-21055,Ted Butterfield,消費者,美國,特洛伊,紐約,12180,東方,OFF-AR-10001868,辦公用品,藝術,Prang 無塵粉筆,1.68
63,CA-2016-135545,24/11/2016,30/11/2016,Standard Class,KM-16720,Kunst Miller,消費者,美國,洛杉磯,加利福尼亞,90004,西方,TEC-AC-10004633,技術,配件,Verbatim 25 GB 6x 藍光單層可刻錄光盤，3/包,13.98
64,CA-2016-135545,24/11/2016,30/11/2016,Standard Class,KM-16720,Kunst Miller,消費者,美國,洛杉磯,加利福尼亞,90004,西方,OFF-BI-10001078,辦公用品,粘合劑,"Acco PRESSTEX 數據活頁夾，帶存儲掛鉤，深藍色，14 7/8"" X 11""",25.824
65,CA-2016-135545,24/11/2016,30/11/2016,Standard Class,KM-16720,Kunst Miller,消費者,美國,洛杉磯,加利福尼亞,90004,西方,OFF-PA-10003892,辦公用品,紙,施樂 1943,146.73
66,CA-2016-135545,24/11/2016,30/11/2016,Standard Class,KM-16720,Kunst Miller,消費者,美國,洛杉磯,加利福尼亞,90004,西方,FUR-FU-10000397,家具,陳設,Luxo 經濟型搖臂燈,79.76
67,US-2016-164175,30/04/2016,05/05/2016,Standard Class,PS-18970,Paul Stevenson,在家辦公,美國,芝加哥,伊利諾伊州,60610,中央,FUR-CH-10001146,家具,椅子,全球價值中背部經理椅，葛瑞,213.115
68,CA-2015-106376,05/12/2015,10/12/2015,Standard Class,BS-11590,Brendan Sweed,公司的,美國,吉爾伯特,亞利桑那,85234,西方,OFF-AR-10002671,辦公用品,藝術,Hunt BOSTON 1606 型大容量電動卷筆刀，米色,1113.024
69,CA-2015-106376,05/12/2015,10/12/2015,Standard Class,BS-11590,Brendan Sweed,公司的,美國,吉爾伯特,亞利桑那,85234,西方,TEC-PH-10002726,技術,電話,netTALK DUO VoIP 電話服務,167.968
70,CA-2017-119823,04/06/2017,06/06/2017,First Class,KD-16270,Karen Daniels,消費者,美國,斯普林菲爾德,弗吉尼亞,22153,南,OFF-PA-10000482,辦公用品,紙,Snap-A-Way 黑色打印無碳劃線速寫字母，一式三份,75.88
71,CA-2017-106075,18/09/2017,23/09/2017,Standard Class,HM-14980,Henry MacAllister,消費者,美國,紐約市,紐約,10009,東方,OFF-BI-10004654,辦公用品,粘合劑,Avery 裝訂系統隱藏選項卡執行樣式索引集,4.616
72,CA-2018-114440,14/09/2018,17/09/2018,Second Class,TB-21520,Tracy Blumstein,消費者,美國,傑克遜,密歇根州,49201,中央,OFF-PA-10004675,辦公用品,紙,"帶有傳真/移動部分的電話留言簿，5 1/2"" x 3 3/16""",19.05
73,US-2016-134026,26/04/2016,02/05/2016,Standard Class,JE-15745,Joel Eaton,消費者,美國,孟菲斯,田納西州,38109,南,FUR-CH-10000513,家具,椅子,高背皮革經理椅,831.936
74,US-2016-134026,26/04/2016,02/05/2016,Standard Class,JE-15745,Joel Eaton,消費者,美國,孟菲斯,田納西州,38109,南,FUR-FU-10003708,家具,陳設,"Tenex 傳統椅子墊，適用於中型地毯，標準唇邊，36"" x 48""",97.04
75,US-2016-134026,26/04/2016,02/05/2016,Standard Class,JE-15745,Joel Eaton,消費者,美國,孟菲斯,田納西州,38109,南,OFF-ST-10004123,辦公用品,貯存,Safco 工業貨架系統,72.784
76,US-2018-118038,09/12/2018,11/12/2018,First Class,KB-16600,Ken Brennan,公司的,美國,休斯頓,德克薩斯州,77041,中央,OFF-BI-10004182,辦公用品,粘合劑,經濟粘合劑,1.248
77,US-2018-118038,09/12/2018,11/12/2018,First Class,KB-16600,Ken Brennan,公司的,美國,休斯頓,德克薩斯州,77041,中央,FUR-FU-10000260,家具,陳設,"6"" 隔間掛鐘，黑色",9.708
78,US-2018-118038,09/12/2018,11/12/2018,First Class,KB-16600,Ken Brennan,公司的,美國,休斯頓,德克薩斯州,77041,中央,OFF-ST-10000615,辦公用品,貯存,SimpliFile 個人文件，黑色花崗岩，15w x 6-15/16d x 11-1/4h,27.24
79,US-2015-147606,26/11/2015,01/12/2015,Second Class,JE-15745,Joel Eaton,消費者,美國,休斯頓,德克薩斯州,77070,中央,FUR-FU-10003194,家具,陳設,Eldon Expressions 辦公桌配件，木製鉛筆架，橡木,19.3
80,CA-2017-127208,12/06/2017,15/06/2017,First Class,SC-20770,Stewart Carmichael,公司的,美國,迪凱特,阿拉巴馬州,35601,南,OFF-AP-10002118,辦公用品,家電,1.7立方英尺緊湊型“立方體”辦公冰箱,208.16
81,CA-2017-127208,12/06/2017,15/06/2017,First Class,SC-20770,Stewart Carmichael,公司的,美國,迪凱特,阿拉巴馬州,35601,南,OFF-BI-10002309,辦公用品,粘合劑,帶鎖環的 Avery 重型 EZD 活頁夾,16.74
82,CA-2015-139451,12/10/2015,16/10/2015,Standard Class,DN-13690,Duane Noonan,消費者,美國,舊金山,加利福尼亞,94122,西方,OFF-AR-10002053,辦公用品,藝術,高級書寫鉛筆，柔軟，#2 中央盲人協會,14.9
83,CA-2015-139451,12/10/2015,16/10/2015,Standard Class,DN-13690,Duane Noonan,消費者,美國,舊金山,加利福尼亞,94122,西方,OFF-ST-10002370,辦公用品,貯存,Sortfiler 多用途個人文件管理器，黑色,21.39
84,CA-2016-149734,03/09/2016,08/09/2016,Standard Class,JC-16105,Julie Creighton,公司的,美國,達勒姆,北卡羅來納,27707,南,OFF-EN-10000927,辦公用品,信封,Jet-Pak 回收的 Peel 'N' Seal 襯墊郵寄信封,200.984
85,US-2018-119662,13/11/2018,16/11/2018,First Class,CS-12400,Christopher Schild,在家辦公,美國,芝加哥,伊利諾伊州,60623,中央,OFF-ST-10003656,辦公用品,貯存,Safco 工業貨架,230.376
86,CA-2018-140088,28/05/2018,30/05/2018,Second Class,PO-18865,Patrick O'Donnell,消費者,美國,哥倫比亞,南卡羅來納,29203,南,FUR-CH-10000863,家具,椅子,Novimex 旋轉織物工作椅,301.96
87,CA-2018-155558,26/10/2018,02/11/2018,Standard Class,PG-18895,Paul Gonzalez,消費者,美國,羅切斯特,明尼蘇達,55901,中央,TEC-AC-10001998,技術,配件,LogitechLS21 揚聲器系統 - PC 多媒體 - 2.1-CH - 有線,19.99
88,CA-2018-155558,26/10/2018,02/11/2018,Standard Class,PG-18895,Paul Gonzalez,消費者,美國,羅切斯特,明尼蘇達,55901,中央,OFF-LA-10000134,辦公用品,標籤,艾利 511,6.16
89,CA-2017-159695,05/04/2017,10/04/2017,Second Class,GM-14455,Gary Mitchum,在家辦公,美國,休斯頓,德克薩斯州,77095,中央,OFF-ST-10003442,辦公用品,貯存,Eldon 便攜式移動管理器,158.368
90,CA-2017-109806,17/09/2017,22/09/2017,Standard Class,JS-15685,Jim Sink,公司的,美國,洛杉磯,加利福尼亞,90036,西方,OFF-AR-10004930,辦公用品,藝術,帶口袋夾的綠松石鉛座,20.1
91,CA-2017-109806,17/09/2017,22/09/2017,Standard Class,JS-15685,Jim Sink,公司的,美國,洛杉磯,加利福尼亞,90036,西方,TEC-PH-10004093,技術,電話,松下 Kx-TS550,73.584
92,CA-2017-109806,17/09/2017,22/09/2017,Standard Class,JS-15685,Jim Sink,公司的,美國,洛杉磯,加利福尼亞,90036,西方,OFF-PA-10000304,辦公用品,紙,施樂 1995,6.48
93,CA-2016-149587,31/01/2016,05/02/2016,Second Class,KB-16315,Karl Braun,消費者,美國,明尼阿波利斯,明尼蘇達,55407,中央,OFF-PA-10003177,辦公用品,紙,施樂 1999,12.96
94,CA-2016-149587,31/01/2016,05/02/2016,Second Class,KB-16315,Karl Braun,消費者,美國,明尼阿波利斯,明尼蘇達,55407,中央,FUR-FU-10003799,家具,陳設,"Seth Thomas 13 1/2"" 掛鐘",53.34
95,CA-2016-149587,31/01/2016,05/02/2016,Second Class,KB-16315,Karl Braun,消費者,美國,明尼阿波利斯,明尼蘇達,55407,中央,OFF-BI-10002852,辦公用品,粘合劑,Ibico 標準透明蓋,32.96
96,US-2018-109484,06/11/2018,12/11/2018,Standard Class,RB-19705,Roger Barcio,在家辦公,美國,波特蘭,俄勒岡,97206,西方,OFF-BI-10004738,辦公用品,粘合劑,靈活的皮革外觀經典系列戒指活頁夾,5.682
97,CA-2018-161018,09/11/2018,11/11/2018,Second Class,PN-18775,Parhena Norris,在家辦公,美國,紐約市,紐約,10009,東方,FUR-FU-10000629,家具,陳設,9-3/4直徑圓形掛鐘,96.53
98,CA-2018-157833,17/06/2018,20/06/2018,First Class,KD-16345,Katherine Ducich,消費者,美國,舊金山,加利福尼亞,94122,西方,OFF-BI-10001721,辦公用品,粘合劑,Trimflex 柔性柱裝訂器,51.312
99,CA-2017-149223,06/09/2017,11/09/2017,Standard Class,ER-13855,Elpida Rittenbach,公司的,美國,聖保羅,明尼蘇達,55106,中央,OFF-AP-10000358,辦公用品,家電,Fellowes Basic 家庭/辦公系列浪湧保護器,77.88
100,CA-2017-158568,29/08/2017,02/09/2017,Standard Class,RB-19465,Rick Bensley,在家辦公,美國,芝加哥,伊利諾伊州,60610,中央,OFF-PA-10003256,辦公用品,紙,艾利個人創作重量級卡片,64.624
101,CA-2017-158568,29/08/2017,02/09/2017,Standard Class,RB-19465,Rick Bensley,在家辦公,美國,芝加哥,伊利諾伊州,60610,中央,TEC-AC-10001767,技術,配件,SanDisk Ultra 64 GB MicroSDHC Class 10 存儲卡,95.976
102,CA-2017-158568,29/08/2017,02/09/2017,Standard Class,RB-19465,Rick Bensley,在家辦公,美國,芝加哥,伊利諾伊州,60610,中央,OFF-BI-10002609,辦公用品,粘合劑,用於裝訂系統的 Avery 隱藏標籤分隔器,1.788
103,CA-2017-129903,01/12/2017,04/12/2017,Second Class,GZ-14470,Gary Zandusky,消費者,美國,羅切斯特,明尼蘇達,55901,中央,OFF-PA-10004040,辦公用品,紙,通用高級白色複印機/激光紙（20 磅和 87 亮度）,23.92
104,US-2016-156867,13/11/2016,17/11/2016,Standard Class,LC-16870,Lena Cacioppo,消費者,美國,極光,科羅拉多州,80013,西方,TEC-AC-10001552,技術,配件,羅技 K350 2.4Ghz 無線鍵盤,238.896
105,US-2016-156867,13/11/2016,17/11/2016,Standard Class,LC-16870,Lena Cacioppo,消費者,美國,極光,科羅拉多州,80013,西方,FUR-FU-10004006,家具,陳設,Deflect-o DuraMat 輕質、鑲嵌、斜面墊，用於低絨地毯,102.36
106,US-2016-156867,13/11/2016,17/11/2016,Standard Class,LC-16870,Lena Cacioppo,消費者,美國,極光,科羅拉多州,80013,西方,OFF-BI-10002794,辦公用品,粘合劑,"Avery 梯形活頁夾，3"" 容量，黑色，1040 張",36.882
107,CA-2018-119004,23/11/2018,28/11/2018,Standard Class,JM-15250,Janet Martin,消費者,美國,夏洛特,北卡羅來納,28205,南,TEC-AC-10003499,技術,配件,Memorex 迷你旅行硬盤 8 GB USB 2.0 閃存盤,74.112
108,CA-2018-119004,23/11/2018,28/11/2018,Standard Class,JM-15250,Janet Martin,消費者,美國,夏洛特,北卡羅來納,28205,南,TEC-PH-10002844,技術,電話,Speck Products Candyshell 翻蓋保護套,27.992
109,CA-2018-119004,23/11/2018,28/11/2018,Standard Class,JM-15250,Janet Martin,消費者,美國,夏洛特,北卡羅來納,28205,南,OFF-AR-10000390,辦公用品,藝術,紐維爾粉筆架,3.304
110,CA-2016-129476,15/10/2016,20/10/2016,Standard Class,PA-19060,Pete Armstrong,在家辦公,美國,奧蘭公園,伊利諾伊州,60462,中央,TEC-AC-10000844,技術,配件,LogitechGaming G510s - 鍵盤,339.96
111,CA-2018-146780,25/12/2018,30/12/2018,Standard Class,CV-12805,Cynthia Voltz,公司的,美國,紐約市,紐約,10035,東方,FUR-FU-10001934,家具,陳設,放大鏡搖臂燈,41.96
112,CA-2017-128867,03/11/2017,10/11/2017,Standard Class,CL-12565,Clay Ludtke,消費者,美國,厄本代爾,愛荷華州,50322,中央,OFF-AR-10000380,辦公用品,藝術,Hunt PowerHouse 電動卷筆刀，藍色,75.96
113,CA-2017-128867,03/11/2017,10/11/2017,Standard Class,CL-12565,Clay Ludtke,消費者,美國,厄本代爾,愛荷華州,50322,中央,OFF-BI-10003981,辦公用品,粘合劑,"Avery 耐用塑料 1"" 活頁夾",27.24
114,CA-2015-115259,25/08/2015,27/08/2015,Second Class,RC-19960,Ryan Crowe,消費者,美國,哥倫布,俄亥俄州,43229,東方,OFF-FA-10000621,辦公用品,緊固件,OIC 彩色活頁夾，各種尺寸,40.096
115,CA-2015-115259,25/08/2015,27/08/2015,Second Class,RC-19960,Ryan Crowe,消費者,美國,哥倫布,俄亥俄州,43229,東方,OFF-EN-10002600,辦公用品,信封,Redi-Strip #10 信封，4 1/8 x 9 1/2,4.72
116,CA-2015-115259,25/08/2015,27/08/2015,Second Class,RC-19960,Ryan Crowe,消費者,美國,哥倫布,俄亥俄州,43229,東方,OFF-PA-10004965,辦公用品,紙,施樂1921,23.976
117,CA-2015-115259,25/08/2015,27/08/2015,Second Class,RC-19960,Ryan Crowe,消費者,美國,哥倫布,俄亥俄州,43229,東方,OFF-EN-10002504,辦公用品,信封,Tyvek 頂部開口 Peel & Seel 信封，純白色,130.464
